,mean,max_brightness_count,min_brightness_count,total_count,center
0,230.0,7752.0,11594.0,19936.0,255.0
1,203.0,173.0,295.0,684.0,255.0
2,200.0,157.0,285.0,703.0,255.0
3,202.0,145.0,285.0,630.0,255.0
4,203.0,168.0,300.0,700.0,255.0
5,203.0,182.0,318.0,738.0,255.0
6,205.0,219.0,356.0,819.0,255.0
7,203.0,205.0,369.0,882.0,255.0
8,208.0,180.0,374.0,820.0,250.0
9,211.0,231.0,454.0,902.0,255.0
10,222.0,301.0,562.0,1012.0,255.0
11,225.0,417.0,742.0,1296.0,250.0
12,233.0,738.0,1328.0,2046.0,255.0
13,235.0,1129.0,1895.0,2967.0,255.0
14,234.0,1247.0,1882.0,2728.0,255.0
15,222.0,6789.0,9521.0,19608.0,255.0
16,236.0,2045.0,3833.0,6048.0,253.0
17,221.0,7054.0,9455.0,20068.0,255.0
18,246.0,1601.0,2796.0,3648.0,255.0
19,247.0,1744.0,2601.0,3174.0,255.0
20,248.0,1736.0,2548.0,3168.0,255.0
21,248.0,1877.0,2780.0,3648.0,255.0
22,246.0,1824.0,3060.0,3969.0,255.0
23,247.0,1654.0,2824.0,3588.0,253.0
24,247.0,1451.0,2775.0,3634.0,255.0
25,249.0,1498.0,2424.0,2990.0,255.0
26,248.0,1729.0,2779.0,3626.0,254.0
27,228.0,7105.0,9263.0,15834.0,255.0
28,248.0,1671.0,2830.0,3700.0,254.0
29,247.0,1688.0,2771.0,3675.0,255.0
30,249.0,1814.0,2715.0,3504.0,255.0
31,249.0,1508.0,2617.0,3384.0,254.0
32,246.0,1675.0,2895.0,3927.0,255.0
33,249.0,1667.0,2634.0,3619.0,255.0
34,140.0,0.0,0.0,3240.0,146.0
35,248.0,2025.0,3233.0,4116.0,255.0
36,247.0,2467.0,4061.0,5320.0,255.0
37,248.0,3135.0,4989.0,6300.0,254.0
38,248.0,3519.0,5815.0,7303.0,255.0
39,248.0,5376.0,8367.0,11375.0,255.0
40,249.0,6361.0,10581.0,13524.0,254.0
41,249.0,5063.0,8390.0,10541.0,254.0
42,248.0,4613.0,7153.0,9760.0,253.0
43,248.0,3557.0,5850.0,7590.0,255.0
44,249.0,2866.0,4407.0,5626.0,255.0
45,249.0,2341.0,3598.0,4536.0,255.0
46,248.0,1795.0,3004.0,3825.0,254.0
47,248.0,1666.0,2729.0,3600.0,255.0
48,248.0,1610.0,2592.0,3358.0,255.0
49,247.0,1646.0,2724.0,3619.0,255.0
50,238.0,1588.0,2694.0,3876.0,255.0
51,239.0,1118.0,2761.0,3920.0,254.0
52,234.0,1349.0,2698.0,4131.0,255.0
53,234.0,1422.0,2575.0,4116.0,255.0
54,238.0,1444.0,2594.0,3822.0,255.0
55,241.0,1551.0,3352.0,4636.0,254.0
56,239.0,1542.0,2917.0,4028.0,255.0
57,240.0,1488.0,2606.0,3528.0,255.0
58,236.0,1311.0,2660.0,3800.0,255.0
59,236.0,1367.0,2624.0,3792.0,255.0
60,236.0,1364.0,2512.0,3696.0,255.0
61,236.0,1282.0,2413.0,3600.0,255.0
62,231.0,1278.0,2891.0,5808.0,251.0
63,233.0,1212.0,2366.0,3876.0,255.0
64,237.0,1235.0,2210.0,3256.0,255.0
65,234.0,1371.0,2375.0,3588.0,255.0
66,232.0,1591.0,2714.0,4300.0,255.0
67,236.0,2014.0,3285.0,4836.0,255.0
68,234.0,2554.0,4070.0,6264.0,255.0
69,235.0,3278.0,5267.0,8211.0,255.0
70,236.0,4050.0,6505.0,10200.0,255.0
71,237.0,4430.0,6828.0,10125.0,255.0
72,232.0,2591.0,4507.0,7215.0,255.0
73,230.0,2400.0,3661.0,6240.0,255.0
74,236.0,2126.0,3380.0,5151.0,255.0
75,234.0,2093.0,3402.0,5671.0,255.0
76,239.0,2348.0,4345.0,6148.0,255.0
77,231.0,2127.0,4049.0,6649.0,255.0
78,226.0,2127.0,4276.0,7590.0,255.0
79,234.0,2099.0,3841.0,5928.0,255.0
80,234.0,2282.0,3667.0,5724.0,255.0
81,227.0,7309.0,10004.0,17325.0,255.0
82,232.0,2171.0,3681.0,6032.0,255.0
83,231.0,2223.0,3591.0,6077.0,255.0
84,230.0,2145.0,3498.0,5720.0,255.0
